fc_arr       scurve
0.000000 0.000000
0.231460 0.000000
0.462920 0.000000
0.694380 0.000000
0.925840 0.000000
1.157300 0.000000
1.388760 0.000000
1.620219 0.000000
1.851679 0.000000
2.083139 0.000000
2.314599 0.000000
2.546059 0.000000
2.777519 0.000000
3.008979 0.000000
3.240439 0.000000
3.471899 0.000000
3.703359 0.000000
3.934819 0.000000
4.166279 0.000000
4.397739 0.000000
4.629198 0.033000
4.860658 0.513000
5.092118 0.914000
5.323578 0.995000
5.555038 1.000000
5.786498 1.000000
6.017958 1.000000
6.249418 1.000000
6.480878 1.000000
6.712338 1.000000
6.943798 1.000000
7.175258 1.000000
7.406718 1.000000
7.638177 1.000000
7.869637 1.000000
8.101097 1.000000
8.332557 1.000000
8.564017 1.000000
8.795477 1.000000
9.026937 1.000000
9.258397 1.000000
9.489857 1.000000
9.721317 1.000000
9.952777 1.000000
