fc_arr       scurve
0.000000 2.314599e-01
0.462920 6.943798e-01
0.925840 1.157300e+00
1.388760 1.620219e+00
1.851679 2.083139e+00
2.314599 2.546059e+00
2.777519 3.008979e+00
3.240439 3.471899e+00
3.703359 3.934819e+00
4.166279 4.397739e+00
4.629198 4.860658e+00
5.092118 5.323578e+00
5.555038 5.786498e+00
6.017958 6.249418e+00
6.480878 6.712338e+00
6.943798 7.175258e+00
7.406718 7.638177e+00
7.869637 8.101097e+00
8.332557 8.564017e+00
8.795477 9.026937e+00
9.258397 9.489857e+00
9.721317 9.952777e+00
0.000000 0
0.000000 0
0.000000 0
0.000000 0
0.000000 0
0.000000 0
0.000000 0
0.000000 0
0.000000 0
0.000000 0
0.033000 5.130000e-01
0.914000 9.950000e-01
1.000000 1
1.000000 1
1.000000 1
1.000000 1
1.000000 1
1.000000 1
1.000000 1
1.000000 1
1.000000 1
1.000000 1
