fc_arr       scurve
  0.00   0.23145992
  0.46   0.69437977
  0.93   1.15729962
  1.39   1.62021947
  1.85   2.08313931
  2.31   2.54605916
  2.78   3.00897901
  3.24   3.47189885
  3.70   3.93481870
  4.17   4.39773855
  4.63   4.86065840
  5.09   5.32357824
  5.56   5.78649809
  6.02   6.24941794
  6.48   6.71233779
  6.94   7.17525763
  7.41   7.63817748
  7.87   8.10109733
  8.33   8.56401718
  8.80   9.02693702
  9.26   9.48985687
  9.72   9.95277672
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
  0.00   0.00000000
