fc_arr       scurve
0.000000 0.231460
0.462920 0.694380
0.925840 1.157300
1.388760 1.620219
1.851679 2.083139
2.314599 2.546059
2.777519 3.008979
3.240439 3.471899
3.703359 3.934819
4.166279 4.397739
4.629198 4.860658
5.092118 5.323578
5.555038 5.786498
6.017958 6.249418
6.480878 6.712338
6.943798 7.175258
7.406718 7.638177
7.869637 8.101097
8.332557 8.564017
8.795477 9.026937
9.258397 9.489857
9.721317 9.952777
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.033000 0.513000
0.914000 0.995000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
